league,year,over,ball,runs_off_bat,extras,wicket_type,expected_bowling_economy,expected_batting_strike_rate,expected_bowling_average,expected_batting_average,expected_bowling_strike_rate
IPL_T20,2017,12,690,884,29,32,7.93913043478261,128.115942028986,28.53125,27.625,21.5625
IPL_T20,2017,13,684,938,47,30,8.64035087719298,137.134502923977,32.8333333333333,31.2666666666667,22.8
IPL_T20,2017,14,681,920,39,41,8.44933920704846,135.095447870778,23.390243902439,22.4390243902439,16.609756097561
IPL_T20,2017,15,665,936,42,32,8.82406015037594,140.751879699248,30.5625,29.25,20.78125
IPL_T20,2017,16,642,904,51,35,8.92523364485981,140.809968847352,27.2857142857143,25.8285714285714,18.3428571428571
IPL_T20,2017,17,618,901,32,40,9.05825242718447,145.7928802589,23.325,22.525,15.45
IPL_T20,2017,18,604,905,39,59,9.37748344370861,149.834437086093,16.0,15.3389830508475,10.2372881355932
IPL_T20,2017,19,572,923,53,48,10.2377622377622,161.363636363636,20.3333333333333,19.2291666666667,11.9166666666667
IPL_T20,2017,20,507,867,54,77,10.8994082840237,171.005917159763,11.961038961039,11.2597402597403,6.58441558441558
IPL_T20,2018,1,720,717,54,25,6.425,99.5833333333333,30.84,28.68,28.8
IPL_T20,2018,2,720,926,54,26,8.16666666666667,128.611111111111,37.6923076923077,35.6153846153846,27.6923076923077
IPL_T20,2018,3,720,1056,36,28,9.1,146.666666666667,39.0,37.7142857142857,25.7142857142857
IPL_T20,2018,4,720,1036,32,34,8.9,143.888888888889,31.4117647058824,30.4705882352941,21.1764705882353
IPL_T20,2018,5,720,1041,38,32,8.99166666666667,144.583333333333,33.71875,32.53125,22.5
IPL_T20,2018,6,720,1039,34,29,8.94166666666667,144.305555555556,37.0,35.8275862068966,24.8275862068966
IPL_T20,2018,7,714,804,33,20,7.03361344537815,112.605042016807,41.85,40.2,35.7
IPL_T20,2018,8,714,857,20,24,7.36974789915966,120.028011204482,36.5416666666667,35.7083333333333,29.75
IPL_T20,2018,9,709,880,48,39,7.85331452750353,124.118476727786,23.7948717948718,22.5641025641026,18.1794871794872
IPL_T20,2018,10,708,963,24,21,8.36440677966102,136.016949152542,47.0,45.8571428571429,33.7142857142857
IPL_T20,2018,11,708,908,26,31,7.91525423728814,128.248587570621,30.1290322580645,29.2903225806452,22.8387096774194
IPL_T20,2018,12,704,941,29,40,8.26704545454546,133.664772727273,24.25,23.525,17.6
IPL_T20,2018,13,696,950,52,31,8.63793103448276,136.494252873563,32.3225806451613,30.6451612903226,22.4516129032258
IPL_T20,2018,14,696,985,26,42,8.71551724137931,141.522988505747,24.0714285714286,23.452380952381,16.5714285714286
IPL_T20,2018,15,692,947,25,46,8.42774566473988,136.849710982659,21.1304347826087,20.5869565217391,15.0434782608696
IPL_T20,2018,16,684,951,46,39,8.74561403508772,139.035087719298,25.5641025641026,24.3846153846154,17.5384615384615
IPL_T20,2018,17,678,995,44,38,9.19469026548673,146.755162241888,27.3421052631579,26.1842105263158,17.8421052631579
IPL_T20,2018,18,670,1120,60,53,10.5671641791045,167.164179104478,22.2641509433962,21.1320754716981,12.6415094339623
IPL_T20,2018,19,616,1037,60,53,10.6850649350649,168.344155844156,20.6981132075472,19.5660377358491,11.622641509434
IPL_T20,2018,20,499,945,62,71,12.1082164328657,189.37875751503,14.1830985915493,13.3098591549296,7.02816901408451
IPL_T20,2019,1,720,712,50,16,6.35,98.8888888888889,47.625,44.5,45.0
IPL_T20,2019,2,720,856,39,25,7.45833333333333,118.888888888889,35.8,34.24,28.8
IPL_T20,2019,3,720,1056,42,23,9.15,146.666666666667,47.7391304347826,45.9130434782609,31.304347826087
IPL_T20,2019,4,716,1004,44,43,8.78212290502793,140.223463687151,24.3720930232558,23.3488372093023,16.6511627906977
IPL_T20,2019,5,714,1008,37,22,8.78151260504202,141.176470588235,47.5,45.8181818181818,32.4545454545455
IPL_T20,2019,6,708,942,31,24,8.24576271186441,133.050847457627,40.5416666666667,39.25,29.5
IPL_T20,2019,7,708,757,22,25,6.60169491525424,106.920903954802,31.16,30.28,28.32
IPL_T20,2019,8,708,799,38,33,7.09322033898305,112.853107344633,25.3636363636364,24.2121212121212,21.4545454545455
IPL_T20,2019,9,708,855,24,23,7.44915254237288,120.762711864407,38.2173913043478,37.1739130434783,30.7826086956522
IPL_T20,2019,10,708,843,43,19,7.50847457627119,119.067796610169,46.6315789473684,44.3684210526316,37.2631578947368
IPL_T20,2019,11,708,911,30,32,7.97457627118644,128.672316384181,29.40625,28.46875,22.125
IPL_T20,2019,12,708,913,24,25,7.94067796610169,128.954802259887,37.48,36.52,28.32
IPL_T20,2019,13,708,859,39,33,7.61016949152542,121.327683615819,27.2121212121212,26.030303030303,21.4545454545455
IPL_T20,2019,14,707,965,40,34,8.52899575671853,136.492220650636,29.5588235294118,28.3823529411765,20.7941176470588
IPL_T20,2019,15,702,996,43,25,8.88034188034188,141.880341880342,41.56,39.84,28.08
IPL_T20,2019,16,696,1003,48,49,9.06034482758621,144.109195402299,21.4489795918367,20.469387755102,14.2040816326531
IPL_T20,2019,17,681,952,43,45,8.76651982378855,139.794419970631,22.1111111111111,21.1555555555556,15.1333333333333
IPL_T20,2019,18,657,1020,52,62,9.78995433789954,155.251141552511,17.2903225806452,16.4516129032258,10.5967741935484
IPL_T20,2019,19,619,1046,81,54,10.924071082391,168.982229402262,20.8703703703704,19.3703703703704,11.462962962963
IPL_T20,2019,20,521,1076,57,69,13.0479846449136,206.525911708253,16.4202898550725,15.5942028985507,7.55072463768116
IPL_T20,2020,1,720,663,48,25,5.925,92.0833333333333,28.44,26.52,28.8
IPL_T20,2020,2,720,699,75,28,6.45,97.0833333333333,27.6428571428571,24.9642857142857,25.7142857142857
IPL_T20,2020,3,720,924,39,31,8.025,128.333333333333,31.0645161290323,29.8064516129032,23.2258064516129
IPL_T20,2020,4,720,989,36,27,8.54166666666667,137.361111111111,37.962962962963,36.6296296296296,26.6666666666667
